List,Population,lon,lat
Uttar Pradesh,199812341,79.82666,28.207609
Maharashtra,112374333,75.7139,19.7515
Bihar,104099452,85.3131,25.0961
West Bengal,91276115,87.855,22.9868
Madhya Pradesh,72626809,78.6569,22.9734
Tamil Nadu,72147030,78.6569,11.1271
Rajasthan,68548437,74.2179,27.0238
Karnataka,61095297,75.7139,15.3173
Gujarat,60439692,71.1924,22.2587
Andhra Pradesh,49577103,79.74,15.9129
Odisha,41974219,85.0985,20.9517
Telangana,35003674,79.0193,18.1124
Kerala,33406061,76.2711,10.8505
Jharkhand,32988134,85.2799,23.6102
Assam,31205576,92.9376,26.2006
Punjab,27743338,75.3412,31.1471
Chattisgarh,25545198,81.8661,21.2787
Haryana,25351462,76.0856,29.0588
NCT of Delhi,16787941,77.1025,28.7041
Jammu and Kashmir,12267032,75.3412,33.2778
Uttarakhand,10086292,79.0193,30.0668
Himanchal pradesh,6864602,77.1734,31.1048
Tripura,3673917,91.9882,23.9408
Meghalaya,2966889,91.3662,25.467
Manipur,2570390,93.9063,24.6637
Nagaland,1978502,94.5624,26.1584
Goa,1458545,74.124,15.2993
Arunachal Pradesh,1383727,94.7278,28.218
Puducherry,1247953,79.8083,11.9416
Mizoram,1097206,92.9376,23.1645
Chandigarh,1055450,76.7794,30.7333
Sikkim,610577,88.5122,27.533
Dadra and Nagar Haveli and Daman and Diu,585764,73.0169,20.1809
Andaman and Nicobar Islands,380581,92.6586,11.7401
Ladakh,274000,77.5619,34.2268
Lakshadweep,64473,72.6358,10.5593
